                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7367,                  4.234,                 1.5092,                0.02575,                0.11986,                0.02822,                0.01132,                 1.8782,                 4.2761,                 1.5586,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.1367,                 3.8182,                 1.1038,                0.06217,                0.50507,                0.07368,                0.03413,                 1.2904,                 3.9152,                 1.1143,             0.00013297,             0.00013297,             0.00013297
                      3,                0.96863,                 3.5344,                0.98384,                0.04812,                0.86805,                0.13065,                0.08937,                0.87101,                 3.7465,                0.92769,             0.00019886,             0.00019886,             0.00019886
                      4,                0.91874,                 3.2826,                0.98347,                0.03753,                0.97883,                0.19871,                0.14729,                0.83556,                  3.709,                0.89747,             0.00026192,             0.00026192,             0.00026192
                      5,                0.98341,                 2.9862,                 1.0161,                0.03569,                      1,                0.24659,                0.18749,                0.78392,                 3.6596,                0.88101,             0.00032215,             0.00032215,             0.00032215
                      6,                0.98019,                 2.7029,                 1.0151,                0.03062,                      1,                 0.3308,                0.25299,                0.76397,                 3.6279,                 0.8908,             0.00037956,             0.00037956,             0.00037956
                      7,                0.96372,                 2.3817,                  1.036,                0.02709,                      1,                0.34428,                0.25406,                0.86842,                 3.6318,                  0.914,             0.00043413,             0.00043413,             0.00043413
                      8,                 1.0149,                  2.203,                 1.0435,                0.02182,                      1,                0.40116,                0.30388,                0.79149,                 3.4817,                0.90432,             0.00048588,             0.00048588,             0.00048588
                      9,                 1.0304,                 2.0088,                 1.0423,                0.93219,                0.21899,                0.63803,                 0.4866,                0.83338,                 3.1791,                0.93242,              0.0005348,              0.0005348,              0.0005348
                     10,                0.95901,                 1.7975,                 1.0257,                0.92614,                0.24992,                0.75502,                0.57958,                0.82468,                 2.7968,                0.90906,              0.0005809,              0.0005809,              0.0005809
                     11,                0.95747,                 1.7568,                 1.0143,                0.91563,                0.42726,                0.78617,                0.62322,                0.76393,                 2.6554,                0.90974,             0.00057263,             0.00057263,             0.00057263
                     12,                0.97917,                 1.5803,                 1.0364,                0.91261,                0.66029,                0.89619,                0.68685,                 0.8714,                 2.2651,                0.92608,             0.00055849,             0.00055849,             0.00055849
                     13,                0.98115,                 1.4802,                 1.0478,                0.87953,                0.76549,                0.92241,                0.70684,                0.86101,                 1.9887,                 0.9359,             0.00054435,             0.00054435,             0.00054435
                     14,                0.94229,                  1.411,                  1.028,                0.95262,                0.90885,                0.97496,                0.73519,                0.89125,                 1.6995,                0.94301,             0.00053022,             0.00053022,             0.00053022
                     15,                0.94575,                  1.359,                 1.0328,                0.92247,                0.95117,                0.98132,                0.77859,                0.79118,                 1.4498,                0.92481,             0.00051608,             0.00051608,             0.00051608
                     16,                 0.9067,                 1.2584,                 1.0122,                0.92331,                0.96266,                0.98699,                0.75309,                0.88313,                 1.1468,                0.94353,             0.00050194,             0.00050194,             0.00050194
                     17,                 0.9416,                 1.2034,                 1.0137,                0.93681,                0.95362,                0.98562,                0.77304,                0.80597,                 1.0912,                0.93053,              0.0004878,              0.0004878,              0.0004878
                     18,                0.94453,                  1.211,                 1.0285,                0.96892,                0.97093,                0.99178,                0.79307,                0.78534,                 1.0538,                 0.9269,             0.00047367,             0.00047367,             0.00047367
                     19,                0.92985,                 1.1338,                 1.0215,                 0.9414,                0.99414,                 0.9931,                0.79777,                0.77329,                 1.0083,                0.93055,             0.00045953,             0.00045953,             0.00045953
                     20,                0.90134,                 1.0928,                 1.0234,                0.92794,                0.98286,                   0.99,                 0.7898,                0.78294,                0.96737,                0.94086,             0.00044539,             0.00044539,             0.00044539
                     21,                0.86372,                 1.0545,                0.99514,                0.98083,                0.99123,                0.99048,                0.78138,                0.81629,                0.88231,                0.95037,             0.00043126,             0.00043126,             0.00043126
                     22,                 0.9076,                 1.0913,                 1.0195,                0.97933,                0.98875,                0.98982,                0.78703,                 0.8235,                0.86919,                0.94529,             0.00041712,             0.00041712,             0.00041712
                     23,                0.85463,                 1.0214,                0.99638,                0.98022,                0.99224,                0.98982,                 0.7794,                0.82503,                 0.8429,                0.95031,             0.00040298,             0.00040298,             0.00040298
                     24,                0.86865,                 0.9943,                 1.0013,                0.98665,                0.99474,                0.99023,                0.79929,                0.75838,                0.75774,                0.94687,             0.00038884,             0.00038884,             0.00038884
                     25,                0.88267,                0.97858,                 1.0091,                0.98418,                0.99137,                0.99094,                0.80271,                0.75183,                0.75065,                0.95202,             0.00037471,             0.00037471,             0.00037471
                     26,                0.89303,                0.96714,                 1.0073,                0.98065,                0.99311,                0.99213,                0.80172,                0.75877,                0.74479,                 0.9403,             0.00036057,             0.00036057,             0.00036057
                     27,                0.84749,                0.92654,                0.97921,                0.98615,                0.99139,                0.99285,                0.80541,                 0.7459,                0.74234,                0.93661,             0.00034643,             0.00034643,             0.00034643
                     28,                 0.8491,                0.91457,                0.99004,                0.98731,                0.99474,                0.99237,                0.80412,                0.74542,                 0.7285,                0.93723,              0.0003323,              0.0003323,              0.0003323
                     29,                 0.8646,                0.93386,                0.98633,                0.98911,                0.99556,                0.99214,                 0.8033,                0.74648,                0.72041,                0.93875,             0.00031816,             0.00031816,             0.00031816
                     30,                0.81182,                0.90661,                0.96531,                 0.9863,                0.99474,                0.99142,                 0.8086,                 0.7431,                0.74227,                0.94283,             0.00030402,             0.00030402,             0.00030402
                     31,                0.85439,                0.88937,                 1.0013,                0.98482,                 0.9934,                0.99189,                 0.8045,                0.75687,                0.74896,                0.94339,             0.00028988,             0.00028988,             0.00028988
                     32,                0.82141,                 0.8589,                0.97422,                0.98923,                0.99578,                0.99357,                0.81161,                0.71786,                0.72529,                0.92991,             0.00027575,             0.00027575,             0.00027575
                     33,                0.82439,                0.85845,                0.98829,                0.98598,                0.99553,                0.99357,                0.80848,                0.72271,                0.69944,                0.93524,             0.00026161,             0.00026161,             0.00026161
                     34,                0.80294,                0.85666,                0.97437,                0.98595,                0.99259,                0.99357,                0.80513,                0.74613,                0.69288,                0.94567,             0.00024747,             0.00024747,             0.00024747
                     35,                0.82738,                0.85057,                0.99804,                0.98639,                0.99302,                0.99333,                0.80095,                0.74552,                0.68257,                0.93494,             0.00023334,             0.00023334,             0.00023334
                     36,                 0.8309,                0.84838,                0.98141,                 0.9884,                0.99502,                0.99238,                0.80578,                0.74367,                0.68379,                0.93427,              0.0002192,              0.0002192,              0.0002192
                     37,                0.79391,                0.84859,                0.98014,                0.98947,                0.99559,                0.99143,                0.80533,                0.75399,                0.68105,                0.94264,             0.00020506,             0.00020506,             0.00020506
                     38,                0.81167,                0.83908,                0.97306,                0.98713,                 0.9974,                0.99095,                0.80987,                0.73546,                0.66899,                0.94029,             0.00019092,             0.00019092,             0.00019092
                     39,                0.82442,                0.79867,                0.97735,                0.98602,                0.99765,                0.99095,                0.81046,                0.73729,                0.67786,                 0.9362,             0.00017679,             0.00017679,             0.00017679
                     40,                0.83338,                0.83979,                0.99227,                0.98552,                0.99655,                0.99071,                 0.8019,                0.74176,                0.67646,                0.94171,             0.00016265,             0.00016265,             0.00016265
                     41,                0.75147,                0.72936,                0.98399,                  0.989,                0.99263,                0.99143,                0.78937,                0.78872,                0.69987,                0.95042,             0.00014851,             0.00014851,             0.00014851
                     42,                0.76723,                0.73068,                0.96823,                0.98803,                0.99167,                0.99262,                0.79302,                0.78194,                0.76869,                0.94386,             0.00013437,             0.00013437,             0.00013437
                     43,                0.75458,                0.74137,                0.97268,                0.98805,                0.99358,                0.99262,                0.80616,                0.73417,                0.72316,                0.93485,             0.00012024,             0.00012024,             0.00012024
                     44,                0.74337,                 0.6968,                0.98201,                0.99053,                0.99589,                0.99238,                0.81143,                0.73703,                  0.676,                0.94042,              0.0001061,              0.0001061,              0.0001061
                     45,                0.74297,                0.70364,                0.95603,                0.99008,                0.99647,                0.99238,                0.80657,                0.74594,                0.67434,                0.94163,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.74984,                0.68737,                0.96918,                0.98648,                0.99829,                0.99262,                0.81087,                0.72946,                0.67958,                 0.9363,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.73921,                0.67236,                0.95533,                0.98718,                0.99858,                0.99286,                0.81649,                0.72059,                 0.6825,                0.93392,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.72951,                0.66965,                0.95667,                 0.9876,                0.99916,                0.99286,                0.81536,                0.71827,                0.66832,                0.93565,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.72937,                0.67478,                0.96898,                 0.9882,                0.99821,                0.99286,                0.81466,                 0.7244,                0.66126,                0.93811,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.73553,                 0.6758,                0.96694,                0.98914,                 0.9975,                0.99286,                0.81203,                0.73193,                0.65512,                0.94029,             2.1277e-05,             2.1277e-05,             2.1277e-05
